Award Number,Month,Year,City,Zip,Charging Station Brand,County,Cost of Charging Station,Rebate Amount,Date,Area_Type
RCS0618102,6,2018,Hockessin,19707,Tesla,New Castle,500.0,250.0,2018-06-01,Urban
RCS0618103,6,2018,Wilmington,19802,AeroVironment,New Castle,649.0,324.5,2018-06-01,Urban
RCS0618104,6,2018,Middletown,19709,ChargePoint,New Castle,674.0,337.0,2018-06-01,Urban
RCS0618105,6,2018,Bear,19701,Tesla,New Castle,500.0,250.0,2018-06-01,Urban
RCS0618106,6,2018,Bear,19701,Clipper Creek,New Castle,589.0,294.5,2018-06-01,Urban
RCS0618107,6,2018,Newark,19711,Tesla,New Castle,500.0,250.0,2018-06-01,Urban
RCS0618108,6,2018,Newark,19711,Tesla,New Castle,500.0,250.0,2018-06-01,Urban
RCS0618109,6,2018,Newark,19713,ChargePoint,New Castle,629.0,314.5,2018-06-01,Urban
RCS0618110,6,2018,Hockessin,19707,Siemens,New Castle,459.99,230.0,2018-06-01,Urban
RCS0618111,6,2018,Wilmington,19810,AeroVironment,New Castle,549.0,274.5,2018-06-01,Urban
RCS0618112,6,2018,Bear,19701,JuiceBox,New Castle,488.0,244.0,2018-06-01,Urban
RCS0618113,6,2018,Newark,19713,ChargePoint,New Castle,599.0,299.5,2018-06-01,Urban
RCS0718114,7,2018,Townsend,19734,Duosida,New Castle,199.99,100.0,2018-07-01,Urban
RCS0718115,7,2018,Lewes,19958,ChargePoint,Sussex,599.0,299.5,2018-07-01,Urban
RCS0718116,7,2018,Felton,19943,AeroVironment,Kent,699.0,349.5,2018-07-01,Rural
RCS0718117,7,2018,Newark,19702,Tesla,New Castle,500.0,250.0,2018-07-01,Urban
RCS0718118,7,2018,Newark,19702,AeroVironment,New Castle,601.0,300.5,2018-07-01,Urban
RCS0718119,7,2018,Millville,19967,Clipper Creek,Sussex,515.0,257.5,2018-07-01,Rural
RCS0818120,8,2018,Felton,19943,Tesla,Kent,500.0,250.0,2018-08-01,Rural
RCS0818121,8,2018,Milford,19963,Tesla,Sussex,585.0,292.5,2018-08-01,Urban
